word;exercise
staubsauger, der, -;2/3a
stehen (1), er steht, stand, hat gestanden (vor einer frage stehen);2/3a
technisch;2/3a
knopf, der, -e;2/3e
nähen;2/3e
reinigen;2/3e
streichen, er streicht, strich, hat gestrichen;2/3e
kopfhörer, der, -;2/4a
ladekabel, das, -;2/4a
powerbank, die, -s;2/4a
daher;2/4b
darum (1) (max‘ lautsprecher geht nicht, darum lässt er ihn reparieren.);2/4b
deswegen;2/4b
handyakku, der, -s;2/4b
sodass;2/4b
stick, der, -s;2/4b
an|haben, er hat an, hatte an, hat angehabt;2/5a
an|schalten;2/5a
dabei|haben;2/5a
diesmal;2/5a
ec-karte, die, -n;2/5a
gebrauchsanweisung, die, -en;2/5a
geheimzahl, die, -en;2/5a
geldautomat, der, -en;2/5a
girokonto, das, -konten;2/5a
gratis;2/5a
nach|sehen, er sieht nach, sah nach, hat nachgesehen;2/5a
portemonnaie, das, -s;2/5a
rabatt, der, -e;2/5a
rein (es war reines glück, dass ich mein handy wieder gefunden habe.);2/5a
verraten, er verrät, verriet, hat verraten;2/5a
zurück|gehen, er geht zurück, ging zurück, ist zurückgegangen;2/5a
zurück|zahlen;2/5a
garantie, die, -n;2/5b
laden, er lädt, lud, hat geladen (mein handy ist fast leer, ich muss es laden.);2/5b
quittung, die, -en;2/5b
reklamieren;2/5b
testen;2/5c
technologie, die, -n;2/6a
vorstellung, die, -en (hast du eine vorstellung, wie eine smarte wohnung aussieht?);2/6a
alarmanlage, die, -n;2/6b
ausnahme, die, -n;2/6b
bemerken;2/6b
bereits;2/6b
berühren;2/6b
einbruch, der, -e;2/6b
gleichzeitig;2/6b
haustür, die, -en;2/6b
hin|sehen, er sieht hin, sah hin, hat hin|gesehen;2/6b
jalousie, die, -n;2/6b
machen (zu + d.) (wir haben die wohnung zu einem smart home gemacht.);2/6b
magazin, das, -e;2/6b
monitor, der, -en;2/6b
neubau, der, -ten;2/6b
nutzung, die, -en;2/6b
sicher (durch die alarmanlage fühlen sich die bewohner sicher.);2/6b
smart;2/6b
smart home, das, -s;2/6b
steuern;2/6b
tagesablauf, der, -e;2/6b
videonachricht, die, -en;2/6b
wand, die, -e;2/6b
zentrale, die, -n;2/6b
kommen (2), er kommt, kam, ist gekommen (zu besuch kommen);2/6c
wessen;2/6c
zu besuch kommen;2/6c
an|passen (an + a.);2/6d
ein|schalten;2/6d
hightech (sg. ohne artikel);2/6d
geschehen, er geschieht, geschah, ist geschehen;2/7a
leisten (sich);2/7a
sorge, die, -n (ich mache mir so viele sorgen um meine kinder.);2/7a
trotz (+ g.);2/7a
wegen (+ g.);2/7a
entsprechen, er entspricht, entsprach, hat entsprochen;2/7b
einkaufsliste, die, -n;2/7c
sparsam;2/7c
von hand;2/7c
gefahr, die, -en;2/7d
werbeanzeige, die, -n;2/9b
ansprechend;2/9c
unmodern;2/9c
unverständlich;2/9c
ausgezeichnet;2/9d
frech;2/9d
merkwürdig;2/9d
seltsam;2/9d
wirken (auf + a.);2/9d
begrüßen;3/10a
benehmen, das (sg.);3/10a
anwesend;3/10b
