word;exercise
unterscheiden, er unterscheidet, unterschied, hat unterschieden (unterscheiden zwischen zwei verschiedenen dingen);5/4b
wahl (2), die, -en (eine wahl treffen);5/4b
ökovergleich, der, -e;5/5a
alternative, die, -n;5/6a
pfandflasche, die, -n;5/6a
energiekosten, die (pl.);5/6b
satzzeichen, das, -;5/7a
müllproblem, das, -e;5/7b
absatz, der, -e;5/8a
allein;5/8a
außenseite, die, -n;5/8a
beschädigt;5/8a
dagegen;5/8a
damit (damit nicht so viel müll entsteht, gibt es pfandbecher.);5/8a
entstehen, er entsteht, entstand, ist entstanden;5/8a
erhältlich;5/8a
gegend, die, -en;5/8a
geschäftsidee, die, -n;5/8a
haltbar;5/8a
jederzeit;5/8a
kaffeebecher, der, -;5/8a
krumm;5/8a
kunststoff, der, -e;5/8a
landen (es landen viel zu viele kaffeebecher im abfall.);5/8a
liefern;5/8a
müllberg, der, -e;5/8a
mülleimer, der, -;5/8a
nachhaltig;5/8a
neugründung, die, -en;5/8a
ökostrom, der (sg.);5/8a
online-shop, der, -s;5/8a
pfand, das (sg.);5/8a
recycelbar;5/8a
sogenannt;5/8a
solarpanel, das, -e;5/8a
sonnenenergie, die (sg.);5/8a
start-up, das, -s;5/8a
steckdose, die, -n;5/8a
tonne, die, -n;5/8a
um … zu;5/8a
verleihen, er verleiht, verlieh, hat verliehen;5/8a
vermeiden, er vermeidet, vermied, hat vermieden;5/8a
verschwendung, die (sg.);5/8a
zu tun haben (mit + d.) (was haben diese ideen mit der umwelt zu tun?);5/8a
zurück|bekommen, er bekommt zurück, brachte zurück, hat zurückbekommen;5/8a
zurück|bringen, er bringt zurück, brachte zurück, hat zurückgebracht;5/8a
pfandbecher, der, -;5/9a
retten;5/9a
verlangen;5/9a
wegwerfbecher, der, -;5/9a
aktion, die, -en;5/9b
elektronisch;5/9c
stromverbrauch, der (sg.);5/9c
umwelttipp, der, -s;5/9c
verschmutzen;5/9c
satzanfang, der, -e;5/9d
auszeichnung, die, -en;6/10a
biografie, die, -n;6/10a
casting-show, die, -s;6/10a
charts, die (pl.);6/10a
coversong, der, -s;6/10a
jury, die, -s;6/10a
preis, der, -e;6/10a
songwriter, der, -;6/10a
songwriterin, die, -nen;6/10a
mit|singen, er singt mit, sang mit, hat mitgesungen;6/10b
song, der, -s;6/10b
songtitel, der, -;6/10b
bildunterschrift, die, -en;6/1a
chip, der, -s;6/1a
daten-chip, der, -s;6/1a
drohne, die, -n;6/1a
haut, die, -e;6/1a
irgendwann;6/1a
mars, der (sg.);6/1a
mobilität, die (sg.);6/1a
passagier, der, -e;6/1a
passagierin, die, -nen;6/1a
planet, der, -en;6/1a
staubsaugen;6/1a
übernehmen, er übernimmt, übernahm, hat übernommen (die aufgaben übernehmen);6/1a
wohnanlage, die, -n;6/1a
prognose, die, -n;6/1b
von ... aus (ich arbeite viel von zu hause aus.);6/2a
anlass, der, -e;6/3a
silvester, - (ohne artikel);6/3a
vor|nehmen (sich), er nimmt vor, nahm vor, hat vorgenommen;6/3a
ausrede, die, -n;6/3b
befragen;6/3b
dauernd;6/3b
einfach so;6/3b
fassen (einen vorsatz fassen);6/3b
frisch (2) (ich genieße die ruhe und die frische luft.);6/3b
leser, der, -;6/3b
leserin, die, -nen;6/3b
süßes (papa, bringst du uns was süßes aus dem supermarkt mit?);6/3b
vorsatz, der, -e (einen vorsatz fassen);6/3b
werden (was wird sich in der zukunft ändern?);6/3b
futur, das (sg.);6/3d
wahrheit, die, -en;6/3e
gelingen, es gelingt, gelang, ist gelungen;6/4a
realisieren;6/4a
hauptproblem, das, -e;6/4b
konkret;6/4b
eventuell;6/5a
n-deklination, die, -en;6/5a
praktikant, der, -en;6/5a
praktikantin, die, -nen;6/5a
zitat, das, -e;6/5a
affe, der, -n;6/5b
elefant, der, -en;6/5b
löwe, der, -n;6/5b
pädagoge, der, -n;6/5b
pädagogin, die, -nen;6/5b
vokallänge, die, -n;6/6a
anonym;6/7b
arbeitsort, der, -e;6/7b
auf|halten (3) (sich), er hält auf, hielt auf, hat aufgehalten (sie hält sich viel in der küche der wg auf.);6/7b
aus|gehen (von + d.), er geht aus, ging aus, ist ausgegangen (experten gehen davon aus, dass …);6/7b
autonom;6/7b
befinden (sich), er befindet, befand, hat befunden;6/7b
begegnen;6/7b
dienstleistungsbereich, der, -e;6/7b
erholungsmöglichkeit, die, -en;6/7b
fünftel, das, -;6/7b
fußweg, der, -e;6/7b
grünfläche, die, -n;6/7b
hausbewohner, der, -;6/7b
hausbewohnerin, die, -nen;6/7b
hausfassade, die, -n;6/7b
heutig (heutige fahrzeuge können noch nicht fliegen.);6/7b
homeoffice, das (sg.);6/7b
längst;6/7b
lauten;6/7b
lebensqualität, die (sg.);6/7b
lebenswert;6/7b
mikro-wohnen, das (sg.);6/7b
miteinander;6/7b
prinzip, das, -ien;6/7b
privatauto, das, -s;6/7b
rolle, die, -n (geld spielt für viele eine wichtige rolle im leben.);6/7b
solarzelle, die, -n;6/7b
spielen (geld spielt für viele eine wichtige rolle im leben.);6/7b
stadtviertel, das, -;6/7b
vergrößern;6/7b
voraussichtlich;6/7b
wachsen, er wächst, wuchs, ist gewachsen;6/7b
windturbine, die, -n;6/7b
akademie, die, -n;6/7c
altenheim, das, -e;6/7c
fundbüro, das, -s;6/7c
fußgängerzone, die, -n;6/7c
hallenbad, das, -er;6/7c
kindertagesstätte, die, -n;6/7c
kiosk, der, -e;6/7c
klinik, die, -en;6/7c
tierpark, der, -s;6/7c
volkshochschule, die, -n;6/7c
zirkus, der, -se;6/7c
anteil, der, -e;6/7d
um|formulieren;6/8a
kasus, der (sg.);6/8b
bürgermeister, der, -;6/8c
bürgermeisterin, die, -nen;6/8c
bildung, die (sg.) (eine gute bildung hilft für das ganze leben.);6/8d
möglicherweise;6/8d
verkehrssituation, die, -en;6/8d
wohnraum, der, -e;6/8d
bass, der, -e;6/9
flöte, die, -n;6/9
musikinstrument, das, -e;6/9
piano, das, -s;6/9
schlagzeug, das, -e;6/9
violine, die, -n;6/9
vorfreude, die (sg.);6/9a
melodie, die, -n;6/9b
rhythmus, der, rhythmen;6/9b
stern, der, -e;6/9b
dahin;6/9c
grad;6/9c
hürde, die, -n;6/9c
in der lage sein (ich bin grade nicht in der lage, mich zu bewegen.);6/9c
liedzeile, die, -n;6/9c
nach|denken, er denkt nach, dachte nach, hat nachgedacht;6/9c
schweben;6/9c
selber (ugs. für selbst);6/9c
stapeln;6/9c
tiefe, die, -n;6/9c
umschreibung, die, -en;6/9c
bewerten;6/9d
kitschig;6/9d
verständlich;6/9d
