Word,Lecture,Ubung
Schnäppchen,12,7
Einsatz,12,7
Sitzplatz,12,3
dunkel-,12,11
Sofort-Überweisung,12,3
deuten,12,11
Datenschutzbestimmung,12,3
stehen,12,4
Stehplatz,12,3
Stelle,12,11
dahinter,12,11
Steuer,12,3
Stille,12,7
Elektro,12,3
Zwischensumme,12,3
